8.927,136.197
8.928,148.481
8.980,158.410
9.085,151.706
9.191,145.286
9.299,139.138
9.407,133.250
9.517,127.611
9.628,122.211
9.741,117.039
9.854,112.086
9.969,107.343
10.027,100.608
10.144,96.350
10.263,92.273
10.383,88.368
10.504,84.628
10.565,79.319
10.688,75.962
10.813,72.747
10.939,69.669
11.067,66.721
11.196,63.897
11.327,61.193
11.393,57.354
11.526,54.927
11.661,52.602
11.797,50.376
11.935,48.244
12.074,46.203
12.144,43.304
12.286,41.471
12.429,39.716
12.575,38.036
12.721,36.426
12.870,34.884
12.945,32.696
13.096,31.312
13.249,29.987
13.403,28.718
13.481,26.916
13.639,25.777
13.798,24.686
13.878,23.137
14.040,22.158
14.122,20.768
14.286,19.889
14.369,18.641
14.453,17.472
14.621,16.732
14.621,15.348
14.451,14.701
14.201,14.388
13.956,14.703
13.635,14.705
13.477,15.355
13.244,15.692
13.015,16.036
12.865,16.744
12.716,17.484
12.570,18.257
12.425,19.064
12.281,19.906
12.139,20.786
11.999,21.704
11.861,22.663
11.724,23.665
11.588,24.710
11.455,25.802
11.322,26.942
11.192,28.133
11.127,30.016
10.999,31.342
10.872,32.727
10.809,34.918
10.684,36.461
10.561,38.072
10.500,40.621
10.379,42.416
10.319,45.255
10.200,47.255
10.141,50.418
10.024,52.646
9.966,56.171
9.851,58.653
9.794,62.579
9.681,65.344
9.625,69.718
9.570,74.385
9.459,77.672
9.405,82.872
9.351,88.419
9.243,92.326
9.189,98.507
9.136,105.101
9.084,112.137
9.031,119.643
8.979,127.652
8.927,136.197
