2.183,671
2.247,122
2.314,51.8
2.382,25.7
2.453,14.2
2.525,8.62
2.6,5.46
2.677,3.5
2.756,2.36
2.837,1.67
2.921,1.24
3.008,0.936
3.097,0.733
3.188,0.583
3.283,0.474
3.38,0.385
3.48,0.319
3.583,0.269
3.689,0.229
3.798,0.198
3.91,0.173
4.026,0.15
4.145,0.132
4.267,0.117
4.393,0.104
4.523,0.0939
4.657,0.0838
4.795,0.0755
4.937,0.0686
5.083,0.063
5.233,0.0583
5.388,0.0542
5.547,0.0509
5.711,0.048
5.88,0.0457
6.054,0.0436
6.233,0.0419
6.417,0.0404
6.607,0.0392
6.803,0.0382
7.004,0.0373
7.211,0.0366
7.424,0.0361
7.644,0.0356
7.87,0.0353
8.103,0.0351
8.342,0.035
8.589,0.0348
8.843,0.0342
9.105,0.0337
9.374,0.0332
9.651,0.0329
9.936,0.0327
10.23,0.0324
10.533,0.032
10.844,0.0316
11.165,0.0313
11.495,0.0311
11.835,0.031
12.185,0.031
12.546,0.0309
12.917,0.0309
13.299,0.031
13.692,0.0311
14.097,0.0313
14.514,0.0315
14.943,0.0318
15.385,0.0321
15.84,0.0324
16.309,0.0328
16.791,0.0333
17.288,0.0338
17.799,0.0343
18.325,0.0348
18.867,0.0354
19.425,0.0361
