6.2206,4893.9
6.35723,5404.54
6.55246,5298.32
6.92264,5194.18
7.29368,5092.1
7.70574,4992.01
8.27747,4610.98
8.98895,4431.51
9.73436,4344.41
10.2571,4093.26
11.0171,3933.94
12.031,3633.66
13.0324,3162.28
13.8891,2541.98
14.7239,1887.39
15.3088,1517.17
16.0114,1020.05
16.3321,788.046
16.426,713.589
16.4283,672.336
16.1637,608.811
15.7692,608.811
15.1323,621.017
14.4395,672.336
13.7036,713.589
12.9341,757.374
12.0419,788.046
11.4601,819.961
10.9065,853.168
10.294,905.517
9.8507,942.189
9.2208,1020.05
8.6545,1126.48
8.14416,1320.35
7.64289,1547.59
7.23077,1925.23
6.8031,2443.04
6.58043,2807.22
6.36476,3290.34
6.22325,4093.26
